word	[etymology]
evidence	['Old French', 'Late Latin']
point	['Latin', 'Old French']
auto	['French']
see	['Old French', 'Late Latin', 'PIE', 'Old English', 'Proto-Germanic']
dragon	['Old French', 'Latin', 'Greek', 'PIE']
bill	['Proto-Germanic', 'PIE']
african	['Old English', 'Spanish', 'Latin', 'Old English Africanas', 'Latin Africanus', 'Africa', 'Africa']
pilots	['French']
soldiers	['Old French', 'Medieval Latin', 'Late Latin']
murdered	['Old English', 'Proto-Germanic', 'Old French', 'Medieval Latin']
accused	['Old French', 'Latin']
killing	['Dutch', 'Middle Dutch', 'Proto-Germanic', 'PIE']
fanning	['Latin', 'PIE']
threatened	['Old English', 'Proto-Germanic', 'PIE']
rash	['Old English', 'Proto-Germanic', 'French', 'Vulgar Latin', 'Latin']
startling	['Old English', 'Proto-Germanic', 'PIE']
gritty	['Old English', 'Proto-Germanic', 'PIE']
internment	['Proto-Indo-European', 'Medieval Latin', 'Latin', 'PIE', 'French', 'Middle French']
sonogram	['Old English', 'Proto-Germanic', 'PIE', 'Old Norse', 'Old French', 'Latin']
appointment	['Anglo-French', 'Latin', 'Old French']
billy	['Anglo-French']
p	['Latin']
legal	['Old French', 'Latin', 'PIE']
tabloids	['Old French', 'Germanic', 'Latin', 'Medieval Latin']
thinking	['Old English', 'Proto-Germanic']
took	['Old English', 'Latin', 'Proto-Germanic', 'PIE', 'Germanic']
scheming	['Medieval Latin', 'Greek', 'PIE']
ease	['Old French', 'Latin']
roommate	['Medieval Latin', 'Old French', 'Arabic']
depression	['Old French', 'Late Latin', 'Latin']
cameron	['Highland', 'Gaelic']
christina	['Late Latin Messias', 'Greek Messias', 'Aramaic', 'Latin Christus', 'Greek', 'Old English', 'Ecclesiastical Greek', 'Christos']
shows	['Old English', 'Proto-Germanic', 'Proto-Germanic', 'PIE']
fear	['Middle English', 'Old English', 'Proto-Germanic', 'PIE']
wanting	['Old English', 'Proto-Germanic', 'PIE', 'Old Norse']
hunt	['Old English', 'Proto-Germanic']
ray	['Latin', 'Old French', 'French']
misses	['Old English', 'Proto-Germanic', 'PIE']
cancer	['Old English', 'Latin', 'Greek', 'PIE']
principle	['French', 'Old French', 'Latin', 'PIE', 'Old High German', 'Anglo-French']
began	['Old English']
july	['Latin Iulius', 'Jove', 'PIE', 'Anglo-French']
strait	['Old French', 'Latin']
entered	['Proto-Indo-European', 'Old French', 'Latin', 'PIE']
united	['Late Latin', 'Latin']
states	['Old French', 'Latin', 'PIE']
recording	['Old French', 'Latin', 'PIE']
album	['Latin']
basement	['Old French', 'Late Latin', 'Oscan', 'Latin', 'Greek', 'PIE']
floods	['Old English', 'Proto-Germanic']
bedroom	['Old English', 'Proto-Germanic', 'Germanic', 'PIE']
plumbers	['Old French', 'Latin']
fix	['Old French', 'Latin', 'PIE']
downstairs	['Old English', 'Proto-Germanic', 'PIE']
flashbacks	['Old English', 'Proto-Germanic', 'PIE']
parallel	['Middle French', 'Latin', 'Greek']
grades	['Old French', 'Latin', 'French', 'PIE']
social	['Middle French', 'Latin', 'PIE']
rich	['Latin', 'PIE', 'Old English', 'Proto-Germanic']
amoral	['Greek-derived', 'Latin']
blond	['Old French', 'Frankish']
femme	['French', 'Old French', 'Latin', 'PIE']
gibbons	['Old French Guillebert', 'Gisilbert', 'Old High German', 'French', 'Frankish']
samuel	['Late Latin', 'Greek Samouel', 'Hebrew Shemiel']
cooperate	['Middle French', 'Late Latin', 'PIE']
underground	['Old English', 'Proto-Germanic', 'PIE']
ring	['Proto-Germanic']
avoid	['Anglo-French', 'Old French', 'Latin', 'PIE']
fit	['Scandinavian', 'Middle English', 'Old English']
desperation	['Old English', 'Proto-Germanic', 'PIE', 'Latin', 'Middle French']
vents	['Old French', 'Latin', 'Greek', 'PIE', 'Vulgar Latin', 'Middle English']
guru	['Hindi', 'Sanskrit', 'PIE']
office	['Anglo-French', 'Latin']
hit	['Old English', 'Proto-Germanic', 'PIE']
china	['Asian', 'Sanskrit', 'Qin', 'China']
eat	['Late Latin', 'Latin', 'PIE', 'Old English', 'Proto-Germanic']
initiated	['Proto-Indo-European', 'Late Latin', 'Latin']
abide	['Old English', 'Proto-Germanic', 'PIE']
cardinal	['Latin', 'Medieval Latin']
devote	['Latin']
saving	['Old French', 'Latin', 'PIE', 'Middle French', 'Late Latin']
unless	['Old English', 'Proto-Germanic', 'PIE']
master	['Latin', 'PIE', 'Old French', 'Medieval Latin']
casts	['Old English', 'Proto-Germanic', 'PIE']
pretense	['Old French', 'Latin', 'PIE', 'Anglo-French', 'Medieval Latin']
succeeds	['Old French', 'Latin']
reverse	['Old French', 'Latin', 'Old French Related', 'Late Latin']
unable	['Old French', 'Latin']
outskirts	['Old English', 'Proto-Germanic', 'PIE', 'Old Norse']
track	['Old French']
swank	['French', 'Old French', 'Vulgar Latin', 'Proto-Germanic', 'PIE']
conducting	['Latin', 'PIE']
somewhat	['Old English', 'Proto-Germanic', 'PIE', 'PIE']
distraction	['Old French', 'Latin']
pursuit	['Latin', 'Anglo-French', 'Old French', 'Vulgar Latin']
unexpected	['Latin']
resolution	['Old French', 'Latin']
opportunity	['Latin', 'PIE', 'Old French', 'Oporto', 'O Porto', 'Middle French']
crush	['Old French', 'Frankish']
features	['Anglo-French', 'Old French', 'Latin']
horror	['Old French', 'Latin', 'PIE']
heroines	['Latin', 'Greek', 'PIE', 'Old French', 'Modern Greek']
actors	['Latin']
jonathan	['Old French', 'Latin', 'French', 'French', 'Hebrew Yonathan']
tabor	['Old French', 'Persian', 'French']
uses	['Old English', 'Proto-Germanic', 'PIE']
methods	['Latin', 'Greek']
attack	['Proto-Germanic', 'PIE', 'Old Norse', 'Old English', 'Middle English', 'Old French', 'Frankish', 'French', 'Florentine Italian']
prof	['Old French', 'Medieval Latin', 'PIE', 'Latin']
mutant	['Latin']
wolverine	['Old English', 'Proto-Germanic', 'PIE']
students	['Proto-Germanic', 'PIE', 'Old French', 'Medieval Latin', 'Latin']
jean	['Latin Ianus', 'PIE', 'Latin Genua', 'Old French Genoveis', 'Italian Genovese', 'Middle French', 'Old French Jannes']
grey	['Proto-Germanic']
plastic	['German Bakelit']
lines	['Latin', 'Old English']
seriously	['Middle French', 'Late Latin', 'Latin']
considered	['French', 'Latin', 'PIE', 'Old French']
crossing	['Old English', 'Proto-Germanic', 'PIE', 'Old Irish', 'Latin', 'French']
retired	['Middle French']
hitman	['Old English', 'Proto-Germanic', 'PIE']
insomnia	['Latin']
fold	['Old English', 'Proto-Germanic', 'PIE']
clean	['Old English', 'West Germanic', 'PIE']
grinding	['Old English', 'Proto-Germanic', 'PIE']
ghetto	['Old English', 'Proto-Germanic', 'PIE', 'Italian', 'Latin Aegyptus']
con	['Latin', 'PIE', 'French', 'Middle French', 'Old English']
forsake	['Old English', 'Proto-Germanic', 'PIE', 'Japanese']
stole	['Proto-Germanic', 'PIE', 'Anglo-French', 'Old French', 'Frankish', 'Germanic', 'Old English', 'Latin', 'Greek']
associates	['Latin', 'PIE', 'Old French']
sad	['Old English', 'Proto-Germanic', 'PIE']
caroline	['Old Norse', 'Proto-Germanic', 'French Charles', 'Medieval Latin Carolus', 'Middle High German Karl', 'French', 'Italian Carolina']
finality	['Old French', 'Latin', 'PIE', 'Late Latin', 'Middle French']
heavily	['Old English', 'Proto-Germanic', 'PIE']
terminate	['Latin', 'PIE']
pregnancy	['Latin', 'Old French']
future	['Old French', 'Latin', 'PIE']
searching	['Latin', 'PIE', 'Old French', 'Anglo-French']
sophie	['Latin', 'Greek', 'French']
flame	['Middle English', 'Anglo-French', 'Latin', 'PIE']
ken	['Middle English', 'Old English', 'PIE']
century	['Old English', 'Proto-Germanic', 'PIE', 'Latin']
insane	['Latin', 'PIE', 'Old French', 'Late Latin']
captivating	['Late Latin']
montage	['Anglo-French', 'Old English', 'Latin', 'PIE', 'Old French', 'Vulgar Latin', 'French']
inventories	['Old French', 'Medieval Latin', 'Latin']
histories	['Old French', 'Latin', 'Greek', 'PIE']
brain	['Proto-Germanic', 'PIE']
surgeries	['Old French', 'Late Latin', 'Greek']
transplanted	['Old English', 'Latin', 'U.S.', 'Late Latin']
blessing	['Old English', 'Proto-Germanic', 'PIE', 'God']
raises	['Old English', 'Proto-Germanic']
eyebrows	['Old English', 'Proto-Germanic', 'PIE']
growth	['Old English', 'Proto-Germanic', 'PIE']
under	['Old English', 'Proto-Germanic', 'PIE']
coach	['Middle French', 'German', 'Hungarian']
guidance	['Old French', 'Frankish', 'Proto-Germanic', 'PIE']
yellow	['Old English', 'Proto-Germanic', 'PIE']
jackets	['Old French', 'Latin', 'French', 'French', 'Old French Jacques', 'Middle French', 'Jacques', 'Late Latin Iacobus', 'Jacque', 'Spanish', 'Arabic']
football	['Proto-Germanic', 'PIE', 'French', 'Old French', 'Late Latin', 'Greek']
continues	['Old French', 'Latin', 'PIE']
tenures	['Latin', 'PIE', 'Anglo-French', 'Old French', 'Vulgar Latin']
head	['Old English', 'Proto-Germanic', 'PIE']
cheerleader	['West Germanic', 'Proto-Germanic', 'PIE', 'Old English']
assistant	['Old French', 'Latin', 'PIE']
manager	['Italian', 'Latin', 'Italian']
neil	['Gaelic/Old Irish Niall']
deliver	['Old French', 'Latin', 'Late Latin']
brand	['Old English', 'Proto-Germanic', 'PIE']
kitchen	['Old English', 'Vulgar Latin', 'Latin', 'PIE', 'Proto-Germanic']
sight	['Old English', 'Proto-Germanic']
persons	['Old French', 'Latin', 'Etruscan']
loved	['Old English', 'Proto-Germanic', 'PIE']
collapses	['Latin']
collision	['Latin', 'PIE', 'Old French', 'Middle French']
tiny	['German Zink', 'Old High German', 'Proto-Germanic', 'PIE', 'French', 'Old English']
general	['Old French', 'Latin', 'Middle French']
delays	['Old Norse', 'Canadian French', 'Proto-Germanic', 'Old French', 'Latin', 'Frankish']
passes	['French', 'Latin', 'Old French', 'Vulgar Latin']
guide	['Old French', 'Frankish', 'Proto-Germanic', 'PIE']
sensual	['Old French', 'Latin', 'PIE', 'Late Latin', 'Middle French']
tango	['Argentine Spanish']
malediction	['Old French', 'Latin']
passed	['French', 'Latin', 'Old French', 'Vulgar Latin']
die	['Old French', 'Latin', 'Old Danish', 'Proto-Germanic', 'PIE']
buddies	['British']
decline	['Old French', 'Latin', 'PIE']
becoming	['Old English', 'Proto-Germanic', 'PIE']
plot	['Old English', 'Old French']
strands	['Proto-Germanic', 'PIE']
involve	['Old French', 'Latin', 'PIE']
trio	['Latin', 'French', 'Italian']
transvestites	['German Transvestit', 'Latin']
toilets	['Old English', 'Old Norse', 'Proto-Germanic', 'PIE', 'Anglo-French', 'Middle English', 'Middle French']
pair	['Old French', 'Medieval Latin']
drinkers	['Old English', 'Proto-Germanic']
determined	['Latin', 'PIE', 'Old French']
pierce	['Anglo-French', 'Vulgar Latin', 'PIE']
genitalia	['Latin']
sets	['Old French', 'Late Latin', 'Latin', 'PIE', 'Medieval Latin', 'Old English', 'Proto-Germanic']
lover	['Old English', 'Proto-Germanic', 'PIE']
slept	['Old English', 'Proto-Germanic', 'PIE']
launches	['Old French', 'Late Latin', 'Old North French', 'Latin', 'Portuguese', 'Malay']
comedic	['Middle French', 'Late Latin', 'Greek', 'Old French', 'Latin']
rivalry	['Latin']
chapman	['Old English', 'Proto-Germanic', 'PIE', 'West Germanic']
academy	['French Acad', 'Latin Academia', 'Greek Akademeia']
competitors	['Old French', 'Latin', 'PIE', 'Middle French', 'Late Latin']
agency	['Medieval Latin', 'Latin']
sunken	['Old English', 'Proto-Germanic', 'PIE']
sea	['Proto-Germanic', 'Latin', 'PIE', 'Old English']
gruelling	['Old English', 'Proto-Germanic', 'PIE', 'Old French', 'Frankish']
training	['Old French', 'Latin', 'Vulgar Latin']
sessions	['Old French', 'Latin', 'PIE']
succeed	['Old French', 'Latin']
ruled	['Old French', 'Vulgar Latin', 'Latin', 'PIE']
instant	['Old French', 'Medieval Latin', 'PIE']
gratification	['Latin', 'Middle French']
desires	['French', 'Latin', 'PIE', 'Old French']
steal	['Old English', 'Proto-Germanic', 'PIE']
collection	['Old French', 'Latin', 'PIE']
homes	['Old English', 'Proto-Germanic', 'PIE']
pieces	['Old French', 'Vulgar Latin', 'Gaulish', 'PIE']
mystery	['Anglo-French', 'Latin', 'Greek', 'Medieval Latin']
starting	['Old English', 'Proto-Germanic', 'PIE']
resolved	['Middle French', 'Late Latin', 'Greek', 'Old French', 'Latin', 'PIE']
according	['Old French', 'Vulgar Latin', 'Latin', 'PIE']
offering	['Old French', 'Old English', 'Latin', 'PIE']
favours	['Old French']
subsidize	['Latin', 'PIE', 'Anglo-French']
respective	['Old French', 'Latin', 'Middle French', 'Medieval Latin']
triumph	['Old French', 'Latin', 'Old Latin', 'Greek']
found	['Old English', 'Proto-Germanic', 'PIE', 'French', 'Latin', 'Old French']
age-old	['Old English', 'Proto-Germanic', 'PIE']
adage	['Latin']
thine	['Proto-Germanic', 'PIE', 'Old English']
divorced	['Old French', 'Latin']
brownstone	['Triassic']
burglars	['Old English', 'Proto-Germanic', 'PIE', 'Anglo-Latin', 'Medieval Latin', 'Latin']
hidden	['Proto-Germanic', 'PIE', 'Old English', 'West Germanic']
cache	['French Canadian', 'French', 'Vulgar Latin']
cash	['Middle French', 'Proven', 'Latin']
inspire	['Old French', 'Latin']
write	['Old English', 'Proto-Germanic']
source	['Old French', 'Latin']
junkie	['Old French', 'Latin', 'Portuguese', 'Malay', 'Javanese']
narrator	['Old French', 'Latin', 'PIE']
banned	['Old English', 'Old French', 'Frankish', 'Proto-Germanic', 'Serbo-Croatian', 'Persian']
alcoholic	['Medieval Latin', 'Arabic']
security	['Old French', 'Latin', 'French', 'Medieval Latin']
mouse	['Old English', 'Proto-Germanic', 'PIE']
impressionable	['French']
ward	['Old English', 'Proto-Germanic', 'PIE']
pimp	['Middle French', 'Old French']
state	['Old French', 'Latin', 'PIE']
functionaries	['Middle French', 'Latin', 'PIE']
interfere	['Middle French', 'Latin']
hopes	['Middle Dutch', 'Proto-Germanic', 'PIE', 'Dutch', 'Cantonese', 'Old English']
manipulating	['French', 'Latin']
confessions	['Old French', 'Vulgar Latin', 'Latin', 'PIE']
purposes	['Latin', 'Old French', 'Anglo-French']
publicist	['Old English', 'Proto-Germanic', 'Proto-Germanic', 'PIE', 'Anglo-French', 'Latin', 'Etruscan', 'Middle French', 'Old French', 'Old Latin', 'French']
whisky	['Gaelic', 'Old Irish']
drinking	['Old English', 'Proto-Germanic']
psychiatrist	['Latin', 'Greek', 'PIE', 'French', 'Medieval Latin', 'Latinized']
crack	['Old English', 'Proto-Germanic']
county	['Anglo-French', 'Latin', 'Old French', 'PIE', 'Late Latin']
desert	['Old French', 'Latin', 'Etruscan', 'Late Latin']
list	['Middle French', 'Late Latin', 'Latin', 'Old English', 'Proto-Germanic', 'PIE', 'Old French']
celebrity	['Latin', 'Old French']
hallucinating	['Latin', 'Greek']
apes	['Old English', 'Proto-Germanic', 'Celtic']
soda	['Italian', 'Arabic']
contaminated	['Old French', 'Latin', 'PIE']
bug	['Proto-Germanic', 'PIE', 'Old French', 'Old English']
need	['Old English', 'Proto-Germanic', 'PIE']
serious	['Middle French', 'Late Latin', 'Latin']
counseling	['Old French', 'Latin']
apart	['Old French', 'Latin']
taking	['Old English', 'Latin', 'Proto-Germanic', 'PIE', 'Germanic']
means	['Old English', 'Proto-Germanic', 'PIE', 'Anglo-French', 'Late Latin', 'Latin', 'Old French', 'West Germanic']
extortion	['Latin']
kingpins	['Old French', 'Latin', 'Medieval Latin', 'Old English', 'Proto-Germanic', 'PIE']
knees	['Proto-Germanic', 'PIE', 'Old English']
creating	['Latin', 'PIE']
airplay	['Old English', 'West Germanic', 'PIE']
cynical	['Greek', 'Kynosarge']
copywriter	['Old English', 'Proto-Germanic']
mastered	['Latin', 'PIE', 'Old French', 'Medieval Latin']
washington	['U.S.', 'Old English']
naples	['Greek', 'PIE', 'Greek Neapolis']
relive	['Old English', 'Middle English', 'Proto-Germanic', 'PIE']
dry	['Old English', 'Proto-Germanic', 'Germanic']
heroes	['Latin', 'Greek', 'PIE', 'Old French', 'Modern Greek']
adult	['Latin']
clutter	['Old English', 'Proto-Germanic', 'PIE']
contact	['Latin', 'PIE']
start-up	['Proto-Indo-European', 'Old English', 'Proto-Germanic', 'PIE']
newspaper	['Latin', 'Greek', 'Anglo-French']
stories	['Old French', 'Latin', 'Greek', 'PIE', 'Late Latin', 'Anglo-Latin']
bridge	['Proto-Germanic', 'PIE']
tunnel	['Middle French']
construction	['Old French', 'Latin']
workers	['Old English', 'Proto-Germanic', 'PIE']
alleviate	['Late Latin']
rage	['Greek', 'PIE', 'Late Latin', 'Latin', 'Old French', 'Medieval Latin']
stuck	['Old English', 'Proto-Germanic', 'PIE']
traffic	['Middle French', 'Italian', 'Latin']
virgin	['Anglo-French', 'Latin']
eric	['Old Norse Eirikr', 'Proto-Germanic', 'PIE']
sweetheart	['Old English', 'Proto-Germanic', 'PIE']
jokes	['Latin']
missed	['Old English', 'Proto-Germanic', 'PIE']
producing	['Latin', 'PIE']
credits	['Middle French', 'Italian', 'Latin']
landed	['Old Norse', 'Proto-Germanic', 'PIE', 'Old English']
chief	['Old French', 'Vulgar Latin', 'Latin']
production	['Latin', 'PIE', 'Old French', 'Medieval Latin']
pictures	['Latin']
invited	['Middle French', 'Latin']
contestants	['French']
joined	['Latin']
pr	['Old English', 'Proto-Germanic', 'Proto-Germanic', 'PIE', 'Anglo-French', 'Latin', 'Etruscan', 'Middle French', 'Old French', 'Old Latin']
blunder	['Proto-Germanic']
tropical	['Late Latin', 'Latin', 'Greek']
worth	['Old English', 'Proto-Germanic', 'PIE']
ten	['Old English', 'Proto-Germanic', 'PIE']
million	['Old French', 'Italian', 'Latin']
smart	['German', 'Old English', 'Proto-Germanic', 'PIE']
attractive	['Old French', 'Latin']
naive	['Old French', 'Latin', 'PIE', 'Medieval Latin', 'French']
quite	['Old French', 'Medieval Latin', 'Latin']
beings	['Old English', 'Proto-Germanic', 'PIE']
stealing	['Old English', 'Proto-Germanic', 'PIE']
affections	['Old French', 'Latin']
boyfriend	['Old English', 'Proto-Germanic', 'PIE']
bean	['Old English', 'Proto-Germanic']
elijah	['Hebrew Elijjah']
wood	['Old English', 'Proto-Germanic', 'PIE', 'Danish', 'Old Norse O']
gone	['Old English', 'West Germanic', 'PIE']
merry	['Old English', 'Proto-Germanic', 'PIE']
dominic	['Middle French', 'Old French', 'Latin', 'Anglo-French']
pippin	['Old English', 'Latin', 'Middle Dutch', 'West Germanic', 'Vulgar Latin', 'Middle English']
orlando	['French', 'Old High German Hrodland']
bloom	['Old English', 'Proto-Germanic', 'PIE']
humans	['Proto-Germanic']
upcoming	['Proto-Indo-European', 'Old English', 'Proto-Germanic', 'PIE']
th	['A']
bernard	['Proto-Germanic', 'PIE', 'Old French', 'Old English', 'German Bernhard', 'Old High German']
hill	['Old English', 'Proto-Germanic', 'PIE']
begun	['Old English']
passionate	['Old French', 'Late Latin', 'Medieval Latin', 'Latin']
figuring	['Old French', 'Latin', 'PIE']
convict	['Latin']
emmanuel	['Greek']
peter	['Middle French', 'Latin', 'Greek', 'Old English Petrus', 'Latin Petrus', 'Greek Petros']
undisputed	['Old French', 'Latin']
champ	['Old French', 'Latin']
posed	['Old English', 'Proto-Germanic', 'PIE', 'Old French', 'Latin', 'Proto-Italic', 'Late Latin', 'Middle French']
heavy	['Old English', 'Proto-Germanic', 'PIE']
generations	['Old French', 'Latin']
portuguese	['Latin', 'PIE', 'Old French', 'Oporto', 'O Porto', 'Middle French', 'Medieval Latin Portus Cale', 'Portuguese Portuguez']
fishing	['Old English']
community	['Old French', 'Latin', 'PIE']
male	['Old French', 'Latin']
fugitive	['Old French', 'Latin', 'PIE']
demands	['Old French', 'Latin', 'Anglo-French']
committing	['Latin']
conceived	['Latin', 'PIE']
robbery	['Proto-Germanic', 'PIE', 'Old French', 'West Germanic']
angrily	['Old Norse', 'Proto-Germanic', 'PIE']
tastes	['Old English', 'Proto-Germanic', 'Dutch', 'Yiddish', 'Old French', 'Vulgar Latin']
rob	['Proto-Germanic', 'PIE', 'Old French', 'West Germanic']
jewelry	['Anglo-French', 'Old French']
forever	['Old English', 'Proto-Germanic']
once	['Old English', 'Proto-Germanic', 'PIE']
solved	['Old French', 'Latin', 'PIE']
spectacular	['Old French', 'Latin', 'PIE']
consisted	['Middle French', 'Latin', 'PIE']
hosting	['Old French', 'Latin', 'Medieval Latin', 'PIE']
autographs	['French', 'Late Latin', 'Greek']
avenge	['Middle French', 'Old French', 'Latin', 'Anglo-French']
pursue	['Latin', 'Anglo-French', 'Old French', 'Vulgar Latin']
tong	['Cantonese']
members	['Old French', 'Latin', 'PIE']
mistakes	['Old English', 'Latin', 'Proto-Germanic', 'PIE', 'Germanic']
drivers	['Old English', 'Proto-Germanic', 'PIE']
dazed	['Old Norse', 'Middle Dutch']
junkies	['Old French', 'Latin', 'Portuguese', 'Malay', 'Javanese']
person	['Old French', 'Latin', 'Etruscan']
provide	['Anglo-French', 'Old French', 'Latin']
luster	['Old French', 'Old English', 'Proto-Germanic', 'PIE']
sexy	['Old French', 'Latin', 'PIE']
unrequited	['Old French', 'Medieval Latin', 'Latin']
rehabilitation	['Old French', 'Latin', 'Middle French', 'Medieval Latin']
center	['Old French', 'Latin', 'Greek', 'PIE']
psychopathic	['Latin', 'Greek', 'PIE']
reverend	['Middle French', 'Latin', 'PIE']
horace	['French', 'Latin Horatius']
masculine	['Old French', 'Latin']
identity	['Old English', 'Proto-Germanic', 'PIE', 'Middle French', 'Medieval Latin', 'Latin', 'Medieval Latin']
steadfast	['Old English', 'Proto-Germanic', 'PIE', 'Old Norse']
critic	['Middle French', 'Latin', 'Greek']
policy	['Greek', 'PIE', 'Old French', 'Late Latin', 'Middle French', 'Italian', 'Old Italian', 'Medieval Latin']
aftermath	['Old English', 'PIE']
quantum	['Old French', 'Latin', 'Latin']
leap	['Old English', 'Proto-Germanic']
analysis	['Latin', 'Greek', 'Medieval Latin']
historical	['Greek']
perspective	['Old French', 'Medieval Latin', 'Latin']
dean	['Old French', 'Late Latin', 'Greek']
hampered	['Old French', 'Frankish', 'French']
background	['Old English', 'Proto-Germanic', 'PIE']
tacks	['Old North French', 'Proto-Germanic', 'Middle Dutch']
feature	['Anglo-French', 'Old French', 'Latin']
length	['Middle English', 'Old English', 'Proto-Germanic']
narrative	['Middle French', 'Late Latin', 'Latin']
elements	['Old French', 'Latin']
impending	['Proto-Indo-European', 'Latin']
ice	['Old English', 'Proto-Germanic']
reunion	['Anglo-French', 'Late Latin', 'PIE', 'French']
weeks	['Old English', 'Proto-Germanic', 'PIE']
seen	['Old French', 'Late Latin', 'PIE', 'Old English', 'Proto-Germanic']
tough	['Old English', 'Proto-Germanic', 'PIE']
adversary	['Latin', 'PIE', 'Anglo-French']
sue	['Latin', 'Anglo-French', 'Old French', 'Vulgar Latin']
fascinated	['Middle French', 'Latin']
committed	['Latin']
ghosts	['Old English', 'Proto-Germanic']
unfriendly	['Old English', 'Proto-Germanic', 'PIE']
roland	['French', 'Old High German Hrodland']
aid	['Old English', 'Proto-Germanic', 'PIE', 'Old French', 'Late Latin', 'Latin']
maud	['Old English', 'Proto-Germanic', 'PIE', 'French Mathilde', 'Old French Mahaut', 'Medieval Latin Matilda', 'Germanic']
bailey	['Old French']
expert	['Old French', 'Latin', 'PIE']
water	['Old English', 'Proto-Germanic', 'PIE']
graduating	['Medieval Latin', 'Latin']
embark	['Old French', 'Medieval Latin', 'Celtic', 'Latin', 'Greek', 'Coptic', 'Middle French', 'Late Latin', 'Old English', 'Proto-Germanic']
playing	['Old English', 'West Germanic', 'PIE']
vs	['In Middle English']
type	['Latin', 'Greek', 'PIE']
prior	['Latin', 'PIE', 'Medieval Latin']
stepfather	['Old English', 'Proto-Germanic', 'PIE']
paths	['Old English', 'Proto-Germanic', 'West Germanic', 'Iranian', 'Iranian', 'PIE']
whether	['Old English', 'Proto-Germanic']
society	['Old French', 'Latin', 'PIE']
distract	['Old French', 'Latin']
keep	['Proto-Germanic']
lessons	['Old French', 'Latin', 'PIE']
despite	['Old French', 'Latin']
abound	['Old French', 'Latin', 'Latin', 'PIE']
culminating	['Late Latin', 'Latin']
cinderella	['Proto-Germanic', 'PIE', 'French']
hundreds	['Old English', 'Proto-Germanic', 'PIE']
fake	['German', 'Latin']
collect	['Old French', 'Latin', 'PIE']
reward	['Old French', 'Frankish', 'Proto-Germanic', 'Germanic', 'Middle French', 'Old North French', 'Anglo-French']
travel	['Old English', 'Proto-Germanic', 'Old French', 'Vulgar Latin', 'Latin']
bleak	['Old Norse', 'Proto-Germanic', 'PIE']
north	['Old English', 'Proto-Germanic', 'PIE', 'English', 'Old English', 'French']
wayward	['Old English', 'Proto-Germanic', 'PIE']
evolved	['Latin', 'PIE']
individuals	['Medieval Latin', 'Latin']
respect	['Old French', 'Latin', 'Middle French']
impression	['Old French', 'Latin', 'PIE']
models	['Middle French', 'Italian', 'Vulgar Latin', 'Latin']
brains	['Proto-Germanic', 'PIE']
capable	['Middle French', 'Late Latin', 'Latin', 'PIE']
rides	['Old English', 'Proto-Germanic', 'PIE']
motorcycle	['Latin', 'PIE', 'French']
imagined	['Old French', 'Latin']
dangers	['Anglo-French', 'Vulgar Latin', 'Latin']
arrive	['PIE', 'Anglo-French', 'Vulgar Latin', 'Latin']
unscathed	['Old Norse', 'Proto-Germanic', 'PIE']
changed	['Old North French', 'Latin', 'Old French', 'Late Latin', 'PIE', 'Anglo-French']
winner	['Old English', 'Proto-Germanic', 'PIE']
youthful	['Old English', 'Proto-Germanic', 'PIE']
tricks	['Old North French', 'Vulgar Latin', 'Latin']
advances	['French', 'Late Latin', 'Old French', 'Vulgar Latin']
unnoticed	['Middle French', 'Latin', 'PIE']
lovely	['Old English', 'Proto-Germanic', 'PIE']
embittered	['Old English', 'Proto-Germanic', 'PIE']
singled	['Old French', 'Latin', 'PIE']
twenties	['Old English']
tired	['Proto-Germanic']
partying	['Old French', 'Latin']
danish	['Danish Daner', 'Proto-Germanic', 'Old English Denisc']
irish	['Old English', 'Old English Iras', 'Old Norse', 'Old Irish Eriu', 'Old Celtic', 'PIE']
ashore	['Middle Low German', 'Proto-Germanic', 'PIE']
northern	['Old English', 'Proto-Germanic', 'PIE', 'English', 'Old English', 'French']
relations	['Latin', 'PIE', 'Medieval Latin', 'Middle French', 'Anglo-French']
finding	['Old English', 'Proto-Germanic']
yourself	['Middle French', 'Late Latin', 'Greek', 'Old English', 'Proto-Germanic', 'PIE']
talent	['Latin', 'PIE', 'Old French', 'Medieval Latin', 'Greek']
conviction	['Latin', 'Late Latin']
woven	['Old English', 'Proto-Germanic', 'PIE']
climactic	['Late Latin', 'Greek']
opening	['Old English', 'Proto-Germanic']
muddles	['Proto-Germanic', 'PIE', 'Germanic', 'Middle Low German', 'English', 'Dutch']
illegal	['Old French', 'Latin', 'PIE', 'French', 'Medieval Latin']
immigrants	['Late Latin', 'Latin']
immigration	['Latin', 'PIE']
lawyers	['Proto-Germanic', 'Old English', 'PIE', 'Old Norse', 'Middle English']
ins	['Proto-Indo-European', 'Proto-Germanic', 'PIE']
origin	['Old French', 'Latin', 'PIE']
arrival	['PIE', 'Anglo-French', 'Vulgar Latin', 'Latin', 'Old French']
space	['Latin']
station	['Old French', 'Latin', 'PIE']
ocean	['Old French', 'Latin', 'Greek']
psychologist	['Latin', 'Greek', 'PIE', 'Modern Latin', 'Latinized', 'Christian Wolff']
commander	['Old French', 'Vulgar Latin', 'Latin']
planet	['Old French', 'Late Latin', 'Greek']
died	['Old French', 'Latin', 'Old Danish', 'Proto-Germanic', 'PIE']
connor	['Latin', 'PIE', 'French']
streets	['Old English', 'Late Latin', 'PIE']
formed	['Old French', 'Latin']
